Merchant_Name,City,Count_of_transactions,,,,,
big bazaar,new delhi,70546,,,,,
delhi metro rail,new delhi,48684,,,,,
delhi metro rail co,new delhi,47439,,,,,
lake forest wine,gurgaon,37322,,,,,
easy day,new delhi,34885,,,,,
wine and beer shop,new delhi,32357,,,,,
reliance,new delhi,30311,,,,,
dsiidc,new delhi,29685,,,,,
big bazaar,gurgaon,27983,,,,,
discovery wines,gurgaon,27971,,,,,
connaught plaza restaur,new delhi,26557,,,,,
delhi state civil,new delhi,24156,,,,,
kendriya bhandar,new delhi,20632,,,,,
delhi tourism and,new delhi,20259,,,,,
plaza premium lounge,new delhi,19818,,,,,
amazon seller,new delhi,19683,,,,,
lenskart coco,gurgaon,18695,,,,,
burger king,new delhi,18281,,,,,
big bazaar,noida,17870,,,,,
haldiram,gurgaon,17617,,,,,
twenty four seven,new delhi,17613,,,,,
delhi metro rail corpo,new delhi,17331,,,,,
haldiram products pvt,new delhi,16885,,,,,
bikanervala,new delhi,16861,,,,,
moin food court,noida,15493,,,,,
rel retail ltdfresh,new delhi,15463,,,,,
dominos pizza,new delhi,15455,,,,,
bharat petroleum,new delhi,15442,,,,,
hcg,gurgaon,15411,,,,,
mahalaxmi,gurgaon,15138,,,,,
more,new delhi,14613,,,,,
apollo,new delhi,14422,,,,,
apollo,noida,13814,,,,,
haryana city gas,gurgaon,13690,,,,,
krishna super,new delhi,13198,,,,,
bharat petroleum,noida,13184,,,,,
af canteen rc,new delhi,12089,,,,,
future retail ltd,new delhi,11980,,,,,
aastha travels pvt ltd,new delhi,11180,,,,,
harish bakers,gurgaon,11091,,,,,
haldiram,new delhi,10958,,,,,
allied motors ltd,new delhi,10893,,,,,
pvr limited,gurgaon,10882,,,,,
connaught plaza restaur,gurgaon,10848,,,,,
wine and beer,new delhi,10627,,,,,
connaught plaza restau,new delhi,10233,,,,,
kfc sapphire,new delhi,9979,,,,,
instakart,new delhi,9845,,,,,
reliance,gurgaon,9839,,,,,
life style,new delhi,9524,,,,,
metro cash and,new delhi,9501,,,,,
dccws ltd,new delhi,9416,,,,,
bir singh,gurgaon,9287,,,,,
hq delhi area,new delhi,9248,,,,,
bikanervala,gurgaon,8803,,,,,
lords travel pvt ltd,new delhi,8687,,,,,
shiv service,new delhi,8495,,,,,
ads associated,gurgaon,8475,,,,,
ish travel and tours p,new delhi,8474,,,,,
pantaloons fashion r,new delhi,8253,,,,,
om sweets,gurgaon,8201,,,,,
om sweets pvt ltd,gurgaon,8131,,,,,
wine beer shop no,gurgaon,8130,,,,,
camero air force cante,new delhi,7816,,,,,
decathlon sports,new delhi,7810,,,,,
kafila hospitality t,new delhi,7769,,,,,
spencers,gurgaon,7688,,,,,
future retail,noida,7655,,,,,
apollo,gurgaon,7554,,,,,
tata starbucks,new delhi,7485,,,,,
indian oil,new delhi,7420,,,,,
freedom enterprises,new delhi,7318,,,,,
companion enterprises,new delhi,7297,,,,,
connaught plaza restau,gurgaon,7188,,,,,
image filling station,new delhi,7133,,,,,
easy day,gurgaon,7096,,,,,
delhi duty free,new delhi,7044,,,,,
r g sons and others,noida,7041,,,,,
ins india canteen,new delhi,7022,,,,,
ish travels and tours,new delhi,6976,,,,,
pvr ltd,new delhi,6939,,,,,
dlf food court,new delhi,6934,,,,,
bp,gurgaon,6890,,,,,
max super speciality,new delhi,6873,,,,,
nalsan enterprises pvt,new delhi,6865,,,,,
igl noida sec,noida,6829,,,,,
connaught plaza restaur,noida,6706,,,,,
rwl healthworld,new delhi,6569,,,,,
dr lal path labs,new delhi,6539,,,,,
wh smith,new delhi,6525,,,,,
delhi,new delhi,6524,,,,,
rel retail ltdfresh,gurgaon,6505,,,,,
saket city hospital,new delhi,6449,,,,,
vaibhav filling,new delhi,6423,,,,,
r d motors,new delhi,6168,,,,,
dominos,new delhi,6136,,,,,
western air command can,new delhi,6117,,,,,
travel food,new delhi,6063,,,,,
igldwarka sec,new delhi,6007,,,,,
my square,new delhi,5998,,,,,
travel studios,new delhi,5940,,,,,
more,gurgaon,5901,,,,,
wine beer,gurgaon,5891,,,,,
all in merchandise,noida,5876,,,,,
satbir filling,new delhi,5874,,,,,
shoppers stop ltd,new delhi,5874,,,,,
burger king,noida,5861,,,,,
hp auto care center,noida,5853,,,,,
bikanervala,noida,5714,,,,,
needs,noida,5706,,,,,
life style,noida,5659,,,,,
cobb apparels,new delhi,5644,,,,,
dolly motors,noida,5609,,,,,
future retail,new delhi,5557,,,,,
ads associated group,gurgaon,5551,,,,,
ram service station,new delhi,5519,,,,,
ajit motors,new delhi,5519,,,,,
bata india limited,new delhi,5410,,,,,
lotus automobiles,new delhi,5410,,,,,
twenty four seven,gurgaon,5381,,,,,
easy day,noida,5328,,,,,
prem service,new delhi,5311,,,,,
vijay brothers,gurgaon,5113,,,,,
sir ganga ram hospital,new delhi,5111,,,,,
reliance,noida,5070,,,,,
wine beer shop,new delhi,5056,,,,,
sreeleathers,new delhi,5034,,,,,
m s usha speedways hpc,new delhi,4990,,,,,
mep infrastructure dev,new delhi,4986,,,,,
link road petrol,new delhi,4967,,,,,
masih automobiles,new delhi,4953,,,,,
vishal mega mart,new delhi,4942,,,,,
dues manager private l,new delhi,4917,,,,,
bishamber sahai,noida,4894,,,,,
venkateshwar hospitals,new delhi,4880,,,,,
autocare,new delhi,4812,,,,,
pvr,new delhi,4755,,,,,
raj mandir,new delhi,4720,,,,,
medanta the medicity,gurgaon,4717,,,,,
lots wholesale solutio,new delhi,4706,,,,,
quickpick,noida,4684,,,,,
pvr ltd,gurgaon,4681,,,,,
rajmandir,new delhi,4674,,,,,
welcome motors,new delhi,4654,,,,,
global petro,new delhi,4644,,,,,
gargi travels pvt ltd,new delhi,4628,,,,,
dominos pizza,gurgaon,4600,,,,,
gopala,new delhi,4553,,,,,
hpcl hp center,noida,4523,,,,,
unit run canteen,new delhi,4513,,,,,
dewan service station,new delhi,4501,,,,,
subway,new delhi,4452,,,,,
sapru car care,gurgaon,4444,,,,,
kamlesh h p centre,new delhi,4400,,,,,
travelco india,new delhi,4389,,,,,
singh motors,new delhi,4372,,,,,
croma,new delhi,4358,,,,,
kartik auto centre,new delhi,4327,,,,,
rajpath motors,new delhi,4325,,,,,
cams csd canteen,new delhi,4317,,,,,
shahed deshraj,noida,4269,,,,,
wine and beer,gurgaon,4199,,,,,
decathlon sports,gurgaon,4172,,,,,
kailash health care,noida,4153,,,,,
pvr limited,new delhi,4128,,,,,
millennium,new delhi,4111,,,,,
lahore,new delhi,4110,,,,,
pvr ltd,noida,4086,,,,,
travel world,new delhi,4081,,,,,
hare krishna fuels,new delhi,4050,,,,,
barshala,new delhi,4046,,,,,
indian oil,greater noida,4031,,,,,
shoppers stop ltd,noida,3989,,,,,
cantabil,new delhi,3984,,,,,
vegetable shop,new delhi,3977,,,,,
l gopinath,new delhi,3970,,,,,
sai filling,new delhi,3925,,,,,
best fuel station,new delhi,3916,,,,,
fuel junction,gurgaon,3912,,,,,
akashi filling,gurgaon,3906,,,,,
kfc,new delhi,3904,,,,,
btw india private limi,new delhi,3888,,,,,
shri ram fuel,gurgaon,3885,,,,,
padam petroleum,noida,3884,,,,,
cafe coffee day,new delhi,3879,,,,,
vij auto centre,new delhi,3879,,,,,
h and m hennes and maurit,new delhi,3863,,,,,
baniya ki,new delhi,3815,,,,,
max hospital,new delhi,3793,,,,,
lords tour and travels,new delhi,3785,,,,,
auto grit,new delhi,3756,,,,,
inditex trent retail indi,new delhi,3733,,,,,
fmpl,new delhi,3726,,,,,
goyal goyal sons,new delhi,3716,,,,,
igl jail road,new delhi,3714,,,,,
dhaulakuan service sta,new delhi,3672,,,,,
kargil height,new delhi,3647,,,,,
jaypee hospital noida,noida,3639,,,,,
central,new delhi,3631,,,,,
bhomi wine,gurgaon,3624,,,,,
hpcl auto care centre,new delhi,3613,,,,,
igl nagla machi,new delhi,3608,,,,,
amarpreet singh,new delhi,3606,,,,,
rajbir singh,gurgaon,3601,,,,,
pushpanjali,new delhi,3594,,,,,
