title, description, offer_text, is_online, category, start_date, end_date
,,Upto Rs 8000 off on flights at Yatra,Y,Travel,2019-06-04,2019-06-09
Pay with Rewards Points at Your Merchant Store,Now  get 5 reward points on every 100 Rs spent for a limited period of time on selected SBI Cards. Find Accelerated Rewards offer details on our website.,,N,Shopping,2019-04-01,2019-05-31
Pay with Rewards Points at Your Merchant Store,Now  pay with rewards points at your merchant store from your SBI credit cards. Find offer details  terms and conditions on the website.,,Y,Shopping,2019-04-01,2019-05-31
Electricity Bill payment – Phonepe Offer,Electricity Bill payment – Phonepe Offer,Electricity Bill payment – Phonepe Offer,Y,Lifestyle,2019-06-01,2019-06-30
Zomato offer 25% off on online food ordering,Zomato 25% off on online food ordering,25% off on online food ordering,Y,Shopping,2019-06-01,2019-07-14
,,Interest Rate- 13% (EMI of Rs. 89/1000 for 12 mth)  Proc Fee Rate-2.00%  Min Proc Fee-Rs.199  Max,N,Shopping,2019-04-01,2019-06-30
,,Interest Rate- 13% (EMI of Rs. 89/1000 for 12 mth)  Proc Fee Rate-2.00%  Min Proc Fee-Rs.199  Max,N,Shopping,2019-04-01,2019-06-30
Get 5% cashback at Best Price stores,Get 5% cashback at Best Price stores,Get 5% cashback at Best Price stores,N,Shopping,2019-06-01,2019-06-10
Get 5% cashback on Spencer’s,,Get 5% cashback,N,Shopping,2019-06-01,2019-06-09
,,Get flat 5% cashback at Fun Family Carnival on Nearbuy,Y,Lifestyle,2019-05-29,2019-06-09
,,International travel offers at MakeMyTrip,N,Travel,2019-04-18,2019-06-26
,,,N,Shopping,2019-04-01,2019-06-30
Myntra Beauty Offer,Myntra Beauty Offer,10% off on personal care and beauty products at Myntra,Y,Shopping,2019-05-28,2019-05-30
Honeywell Air Purifier Cashback Offers | SBI Card,Get amazing Honeywell Air Purifier offers for SBI credit card holders on our website. Also  check out Honeywell Air Purifier credit card offer details  terms and conditions today!,Honeywell Air Purifiers 5% Cashback Offer,N,Shopping,2018-11-06,2018-12-09
LG Cashback,Cashback Offer,Upto 7.5% Cashback Offer,N,Shopping,2019-05-24,2019-05-31
,,Get flat 10% cashback on Cure Fit,Y,Health,2019-05-24,2019-05-31
,,Flat 15% off on Jalesh Cruises,Y,Travel,2019-05-24,2019-07-31
,,Flat 15% off on apparel at Turmswear,Y,Lifestyle,2019-05-22,2019-07-31
,,Flat 15% off on all products at SENIORITY,Y,Health,2019-05-17,2019-07-31
,,10% Instant Discount on Flipkart Supermart,N,Shopping,2019-05-20,2019-05-24
,,POTHYS cashback Offer,N,Shopping,2019-05-17,2019-06-02
,,Additional 5% Cashback at Reliance Trends,N,Shopping,2016-09-01,2016-11-06
,,5% Cashback at tatacliq.com,N,Shopping,2016-09-07,2016-09-28
,,Amazing Travel triangle offers,N,Travel,2016-08-12,2016-10-17
,,Avail 5% Cashback on EMI trxn.,N,Travel,2016-09-07,2016-09-27
,,MyG & 3G Mobile World Offer,N,Shopping,2019-05-16,2019-06-30
,,Flat 25% off on 1 year Gaana Plus subscription,Y,Lifestyle,2019-05-15,2019-08-31
,,Exclusive discounts at TBZ,N,Shopping,2019-05-14,2020-03-15
,,Rs 2000 Instant Discount on OnePlus 7 series,Y,Shopping,2019-05-14,2019-06-30
,,Get upto Rs. 1000 off on Flight Bookings at Akbar Travels,Y,Travel,2019-05-15,2019-07-31
,,10% Instant Cashback,Y,Lifestyle,2019-05-10,2019-05-16
,,Sargam Electronics 5% Cashback Offer,N,Shopping,2019-05-10,2019-06-23
,,Upto Rs 800 off on domestic flights at Yatra,N,Travel,2019-05-10,2019-07-31
,,Upto Rs 800 off on domestic flights at Yatra,N,Travel,2019-04-20,2019-05-08
,,Upto Rs 800 off on domestic flights at Yatra,N,Travel,2019-04-20,2019-05-05
,,Jamshedpur - My City Offers,N,my-city-offers,2019-05-09,2019-09-30
1mg Offers on SBI Credit Cards,Get 1mg offers on your SBI credits cards. Find 1mg offer details  terms and conditions on our website.,Flat Rs. 200 off on Prescription Medicines Upto 40% of on Lab Tests,Y,Health,2019-05-09,2019-07-31
,,Ratnadeep Supermarket Discount Offer,N,Shopping,2019-04-17,2019-05-15
,,Flat Rs 200 off,Y,Shopping,2019-05-09,2019-05-26
,,My City Offers,N,my-city-offers,2019-05-09,2019-06-30
,,Patna - My City Offers,N,my-city-offers,2019-05-09,2019-09-30
,,Guwahati - My City Offers,N,my-city-offers,2019-05-09,2019-09-30
,,,N,Travel,2019-05-07,2019-05-14
,,5% Cashback on Daikin ACs,N,Shopping,2019-05-07,2019-07-06
,,Flat 50% off on Healthians SAVE HEALTH PACKAGE,Y,Health,2019-05-02,2019-07-31
,,Summer Travel Sale - Offers at GoIbibo,Y,Travel,2019-05-06,2019-05-11
,,5% Cashback at Vijay Sales,N,Shopping,2019-05-03,2019-06-04
